name,value,year,lastValue,rank
Simulation,219,2015.07,215,6
RPG,145,2015.07,144,8
Free to Play,53,2015.07,49,9
Violent,11,2015.07,11,5
Sexual Content,7,2015.07,6,10
Action,1935,2015.06,1842,1
Adventure,862,2015.06,829,2
Casual,478,2015.06,451,3
Indie,451,2015.06,429,4
Strategy,256,2015.06,251,7
Simulation,215,2015.06,211,6
RPG,144,2015.06,144,8
Free to Play,49,2015.06,49,9
Violent,11,2015.06,11,5
Sexual Content,6,2015.06,6,10
Action,1842,2015.05,1751,1
Adventure,829,2015.05,764,2
Casual,451,2015.05,427,3
Indie,429,2015.05,392,4
Strategy,251,2015.05,251,7
Simulation,211,2015.05,192,6
RPG,144,2015.05,137,8
Free to Play,49,2015.05,46,9
Violent,11,2015.05,11,5
Sexual Content,6,2015.05,5,10
Action,1751,2015.04,1645,1
Adventure,764,2015.04,726,2
Casual,427,2015.04,414,3
Indie,392,2015.04,373,4
Strategy,251,2015.04,249,7
Simulation,192,2015.04,181,6
RPG,137,2015.04,134,8
Free to Play,46,2015.04,39,9
Violent,11,2015.04,11,5
Sexual Content,5,2015.04,5,10
Action,1645,2015.03,1579,1
Adventure,726,2015.03,692,2
Casual,414,2015.03,389,3
Indie,373,2015.03,353,4
Strategy,249,2015.03,239,7
Simulation,181,2015.03,169,6
RPG,134,2015.03,129,8
Free to Play,39,2015.03,38,9
Violent,11,2015.03,11,5
Sexual Content,5,2015.03,5,10
Action,1579,2015.02,1512,1
Adventure,692,2015.02,644,2
Casual,389,2015.02,371,3
Indie,353,2015.02,331,4
Strategy,239,2015.02,235,7
Simulation,169,2015.02,166,6
RPG,129,2015.02,129,8
Free to Play,38,2015.02,36,9
Violent,11,2015.02,9,5
Sexual Content,5,2015.02,5,10
Action,1512,2015.01,1441,1
Adventure,644,2015.01,612,2
Casual,371,2015.01,357,3
Indie,331,2015.01,317,4
Strategy,235,2015.01,234,7
Simulation,166,2015.01,162,6
RPG,129,2015.01,123,8
Free to Play,36,2015.01,31,9
Violent,9,2015.01,9,5
Sexual Content,5,2015.01,4,10
Action,1441,2014.12,1388,1
Adventure,612,2014.12,571,2
Casual,357,2014.12,348,3
Indie,317,2014.12,281,4
Strategy,234,2014.12,232,7
Simulation,162,2014.12,158,6
RPG,123,2014.12,121,8
Free to Play,31,2014.12,28,9
Violent,9,2014.12,8,5
Sexual Content,4,2014.12,3,10
Action,1388,2014.11,1336,1
Adventure,571,2014.11,541,2
Casual,348,2014.11,339,3
Indie,281,2014.11,266,4
Strategy,232,2014.11,226,7
Simulation,158,2014.11,142,6
RPG,121,2014.11,118,8
Free to Play,28,2014.11,28,9
Violent,8,2014.11,8,5
Sexual Content,3,2014.11,3,10
Action,1336,2014.1,1271,1
Adventure,541,2014.1,493,2
Casual,339,2014.1,327,3
Indie,266,2014.1,247,4
Strategy,226,2014.1,222,7
Simulation,142,2014.1,136,6
RPG,118,2014.1,117,8
Free to Play,28,2014.1,26,9
Violent,8,2014.1,8,5
Sexual Content,3,2014.1,3,10
Action,1271,2014.09,1227,1
Adventure,493,2014.09,473,2
Casual,327,2014.09,314,3
Indie,247,2014.09,236,4
Strategy,222,2014.09,217,7
Simulation,136,2014.09,128,6
RPG,117,2014.09,113,8
Free to Play,26,2014.09,25,9
Violent,8,2014.09,8,5
Sexual Content,3,2014.09,3,10
Action,1227,2014.08,1179,1
Adventure,473,2014.08,452,2
Casual,314,2014.08,294,3
Indie,236,2014.08,221,4
Strategy,217,2014.08,214,7
Simulation,128,2014.08,123,6
RPG,113,2014.08,111,8
Free to Play,25,2014.08,21,9
Violent,8,2014.08,7,5
Sexual Content,3,2014.08,3,10
Action,1179,2014.07,1115,1
Adventure,452,2014.07,413,2
Casual,294,2014.07,269,3
Indie,221,2014.07,215,4
Strategy,214,2014.07,219,7
Simulation,123,2014.07,119,6
RPG,111,2014.07,118,8
Free to Play,21,2014.07,21,9
Violent,7,2014.07,7,5
Sexual Content,3,2014.07,2,10
Action,1115,2014.06,1166,1
Adventure,413,2014.06,388,2
Casual,269,2014.06,258,3
Strategy,219,2014.06,217,7
Indie,215,2014.06,193,4
Simulation,119,2014.06,111,6
RPG,118,2014.06,116,8
Free to Play,21,2014.06,21,9
Violent,7,2014.06,7,5
Sexual Content,2,2014.06,2,10
Action,1166,2014.05,979,1
Adventure,388,2014.05,339,2
Casual,258,2014.05,237,3
Strategy,217,2014.05,214,7
Indie,193,2014.05,173,4
Simulation,111,2014.05,113,6
RPG,116,2014.05,112,8
Free to Play,21,2014.05,18,9
Violent,7,2014.05,7,5
Sexual Content,2,2014.05,2,10
Action,979,2014.04,928,1
Adventure,339,2014.04,287,2
Casual,237,2014.04,224,3
Strategy,214,2014.04,193,7
Indie,173,2014.04,164,4
Simulation,113,2014.04,111,6
RPG,112,2014.04,94,8
Free to Play,18,2014.04,17,9
Violent,7,2014.04,7,5
Sexual Content,2,2014.04,2,10
Action,928,2014.03,873,1
Adventure,287,2014.03,271,2
Casual,224,2014.03,218,3
Strategy,193,2014.03,191,7
Indie,164,2014.03,158,4
Simulation,111,2014.03,97,6
RPG,94,2014.03,91,8
Free to Play,17,2014.03,17,9
Violent,7,2014.03,7,5
Sexual Content,2,2014.03,1,10
Action,873,2014.02,829,1
Adventure,271,2014.02,255,2
Casual,218,2014.02,196,3
Strategy,191,2014.02,187,7
Indie,158,2014.02,148,4
Simulation,97,2014.02,92,6
RPG,91,2014.02,91,8
Free to Play,17,2014.02,16,9
Violent,7,2014.02,6,5
Sexual Content,1,2014.02,1,10
Action,829,2014.01,797,1
Adventure,255,2014.01,247,2
Casual,196,2014.01,192,3
Strategy,187,2014.01,186,7
Indie,148,2014.01,141,4
Simulation,92,2014.01,91,6
RPG,91,2014.01,85,8
Free to Play,16,2014.01,16,9
Violent,6,2014.01,6,5
Sexual Content,1,2014.01,1,10
Action,797,2013.12,777,1
Adventure,247,2013.12,235,2
Casual,192,2013.12,188,3
Strategy,186,2013.12,185,7
Indie,141,2013.12,138,4
Simulation,91,2013.12,88,6
RPG,85,2013.12,84,8
Free to Play,16,2013.12,16,9
Violent,6,2013.12,6,5
